btc_price,btc_volume,eth_price,eth_volume,fees,stablecoins_supply,defi_tvl,market_cap,volume,fng_value,is_panic_day,is_defi_stress_day,panic_in_next_days,is_pure_stress_day,target,btc_circulating_supply,btc_return_1d,eth_return_1d,btc_return_3d,eth_return_3d,btc_return_7d,eth_return_7d,btc_volatility_7d,eth_volatility_7d,btc_volatility_30d,eth_volatility_30d,btc_price_momentum_signal,eth_price_momentum_signal,volume_change_1d,volume_change_7d,volume_spike_signal,btc_volume_change_1d,btc_volume_change_7d,eth_volume_change_1d,eth_volume_change_7d,btc_volume_momentum_signal,eth_volume_momentum_signal,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_momentum_signal,fees_ma_7d,fees_spike_signal,MarketConcentration_Proxy,ETH_Volatility_30d,LiquidationPressureIndex,SentimentMomentum_7d,Capital_Efficiency
5788.61249405,5690409836.804629,184.02255937,2658768934.172415,44.0,25140229.0,3683607.0,194166263234.29495,20127098665.981815,28,0,0,0.0,0,0.0,17296200.0,-0.002661553464456401,-0.014526399307704274,0.0025128314936617713,0.010319284056034883,0.009259513024606258,0.048070701839534546,0.009553492556794522,0.01156574939792188,0.013164592724962166,0.022708500313234552,0.9849525286593483,1.0094475942908931,0.5254905045233644,0.4094602332573294,1.787119849353642,0.9683428853275948,0.823449655137833,0.905405191181544,0.7938349300265091,1.083645140054637,1.0975103668381319,-0.1383953872570426,-0.1614012649530776,-0.2379788895150099,1.6491107934237879,55.0,1.264367816091954,0.5156457035935972,0.022708500313234552,1.6350120225528877,-23.0,5463.964713386042
5686.54113106,4981978552.514329,182.44824259,2461869578.310328,23.0,25140229.0,3916651.0,191272513634.4731,16783625263.0123,23,0,0,1.0,0,0.0,17298000.0,-0.09472151728553924,-0.1177460288607588,0.0006820954733235407,-0.002312592329495766,0.015437258280843746,-0.0006621269512705474,0.03455145531923609,0.042957932602749084,0.019174139330784143,0.02745336504841613,0.9718797989996095,0.992776757450953,-0.1661180013302438,0.1913076458251164,1.4589511017623564,-0.12449565226537529,1.0736776122270535,-0.07405658811918336,0.8497464293758943,1.185055847063616,1.1846338301530221,0.06326516373760827,-0.06662222976341514,-0.038763352244001625,1.6255430984713888,43.42857142857143,0.6666666666666666,0.5142703811225879,0.02745336504841613,2.113909108728042,-24.0,4285.198059008143
5609.95618233,3236633357.046711,176.02240566,1724796640.6795118,20.0,25140229.0,3777996.0,186587379710.2972,11587957463.042423,24,0,0,1.0,0,0.0,17299800.0,-0.01763313109919129,-0.008555020565900517,-0.0035639021517545055,-0.003842437590690695,-0.012828745268047781,-0.025606102420711596,0.03449121539093414,0.04331451492503233,0.019322913381604506,0.027443523368718203,0.9590666573061087,0.974078879404995,-0.3095676719749024,-0.1324280716151255,1.0023119662686715,-0.3503317360904271,0.19562807745624,-0.2993956073565427,0.5842057130733662,1.2058213178492105,1.236575750969322,-0.03540141820141751,-0.0658631465807662,-0.33993630675627795,1.5836679715516075,39.285714285714285,0.6263048016701461,0.5201376433591482,0.027443523368718203,2.0857077760225833,-28.0,3067.223327669596
5599.19159569,2525819291.4931545,175.66741636,1412767953.2110136,86.0,25140229.0,3619614.0,187809166075.10672,11148416272.101551,26,0,0,1.0,0,0.0,17301600.0,-0.01346775605151107,-0.035220053856261146,-0.002661553464456401,-0.014526399307704274,-0.01181314643897402,-0.012262985799361914,0.03444602083023626,0.0433874675379578,0.01935971348683772,0.02800452928107896,0.9449745316359436,0.9523733822074859,-0.03793085988990763,-0.0976975847015421,0.960460192980894,-0.21961525670060567,0.5103574702661513,-0.18090752272428445,0.3223096500978315,1.250040237379465,1.2679089673988089,-0.04192222543380142,-0.13265700522450163,-0.3353613706089694,1.5450095721709391,45.142857142857146,2.6299694189602443,0.5158160026824722,0.02800452928107896,2.072335166799843,-28.0,3080.001423384248
5638.86148145,2422604400.7507744,177.72868961,1419370369.0170794,35.0,25140229.0,14168001.0,188092186402.6704,9776134094.02896,28,0,0,1.0,0,1.0,17303400.0,-0.001918836135281321,-0.0020167279197722543,-0.09472151728553924,-0.1177460288607588,0.0025128314936617713,0.010319284056034883,0.03403571569153663,0.04196200390582855,0.019224970734527117,0.027560426608303344,0.9311838023259272,0.931901943613497,-0.12309211860940916,-0.22651578201058165,0.8411910958319319,-0.04086392525783744,-0.17701471921959133,0.004673390128265176,0.09139109620169483,1.227205734326819,1.2744118244852662,2.9142298046145254,2.469982498240272,1.4856011284151136,1.5590915102142773,38.0,1.0595358224016147,0.518742844262757,0.027560426608303344,1.9843507157978408,-24.0,690.0150623951084
4889.19785924,6126269575.232113,150.39116277,2804845847.3432374,65.0,25140229.0,2893450.0,162457676378.14072,19650083301.110916,21,0,1,1.0,1,0.0,17305200.0,0.007084930937268696,0.011733953243644013,-0.01763313109919129,-0.008555020565900517,0.0006820954733235407,-0.002312592329495766,0.03473298726072622,0.04360492449118064,0.019347993736461042,0.027718323127268654,0.9045748947473078,0.8968927533943039,1.010005500345248,0.5369745651968258,1.6404461497612555,1.5287948677603156,1.3103398000006354,0.9761197701242743,1.1869587194458733,1.3430274800172155,1.3767444665679502,-0.7957757061140807,-0.3330033831040279,-0.3937557121204439,1.5259690550704683,44.57142857142857,1.904296875,0.5208036251656277,0.027718323127268654,2.1897475270542235,-35.0,6791.2296051809835
4450.71145442,6314969584.020993,131.47667974,3210253186.2157793,30.0,25140229.0,2213634.0,148853700379.00912,19021514772.401276,15,1,0,1.0,0,0.0,17307000.0,-0.13294591907890385,-0.1538160603107369,-0.01346775605151107,-0.035220053856261146,-0.0035639021517545055,-0.003842437590690695,0.05449535700529839,0.06396348371808264,0.030266022256720364,0.03867947108480586,0.8698223164809681,0.8524209941383739,-0.03198808468532566,0.4416951319463098,1.5443602107293288,0.030801780181495042,1.184381408061777,0.14453818888355152,1.300626055692426,1.440207237061475,1.4833333434709604,-0.2349499732153657,-0.4822256377174211,-0.6211120983299646,1.478625366857389,43.285714285714285,0.8737864077669902,0.5174776505086417,0.03867947108480586,3.287755042208498,-34.0,8592.8905918509
4613.44841218,4321511764.357207,137.17304319,2864570364.233047,53.0,25140229.0,2817095.0,152614098388.4004,14904498308.235992,14,0,0,1.0,0,0.0,17308800.0,-0.08968473304701974,-0.12576858029169413,-0.001918836135281321,-0.0020167279197722543,-0.002661553464456401,-0.014526399307704274,0.05537927787221286,0.0685705067400468,0.03358595283338542,0.04405460972021221,0.8513953459791862,0.8280025554284485,-0.21643998984448654,-0.2594810332287433,1.1921632032836813,-0.31567180065410094,-0.2405622989742524,-0.10768085939982208,0.07740478212135105,1.3530103272577954,1.450873929894268,0.27261100976945607,-0.23523464908172886,-0.5366081982545999,1.4437330311874499,44.57142857142857,1.4776951672862453,0.5232364291372082,0.04405460972021221,3.7886964359382502,-14.0,5290.733293778162
4307.38873172,3055231902.513544,126.06638761,1749233437.3121877,56.0,25140229.0,4207920.0,144251703261.00137,10456185878.514532,12,1,0,1.0,0,0.0,17310600.0,0.03656425706914468,0.04332603668775903,0.007084930937268696,0.011733953243644013,-0.09472151728553924,-0.1177460288607588,0.059414443009496776,0.07345173354431594,0.03471078877730541,0.045264042328716336,0.8289881608288397,0.797349441258157,-0.2984543550361164,-0.37700075432702607,0.8350038460621931,-0.2930177981436116,-0.38674326468715625,-0.38935574452871813,-0.28946949394746124,1.2623031839870704,1.3707644913846533,0.49370894485276495,0.07436685065889193,-0.29412072576773374,1.4074555252226701,49.285714285714285,1.5080789946140036,0.5168984607717318,0.045264042328716336,3.9832357249270376,-11.0,2484.882288283649
4376.9049468,3520222575.53617,124.15029635,1739142608.9564946,64.0,25140229.0,4248590.0,144631502901.8783,12301001294.020683,15,0,0,1.0,0,0.0,17312400.0,-0.06634076142522138,-0.08096820863422871,-0.13294591907890385,-0.1538160603107369,-0.01763313109919129,-0.008555020565900517,0.060527403203325926,0.07361136941002548,0.03614230774529111,0.0469362835154038,0.8092565872694298,0.7694320144416186,0.17643292085089035,0.061533176424954705,0.9748172385891983,0.15219488662712544,0.08761857992720623,-0.005768714535435815,0.008317483892669841,1.2629558369436493,1.3572366450125823,0.009665107701667397,0.12456180472398604,-0.3219410349368924,1.37352567344428,55.57142857142857,1.641025641025641,0.5239157976003875,0.0469362835154038,3.9895840988093227,-9.0,2895.3138085860683
