timestamp,btc_price,btc_volume,eth_price,eth_volume,fees,stablecoins_supply,defi_tvl,market_cap,volume,fng_value,is_panic_day,is_defi_stress_day,panic_in_next_days,is_pure_stress_day,target
2022-11-08,20597.75501706,91750982446.38734,1569.988636,30344896841.852493,24963241.0,69518116385.0,53393662379.0,1069456182601.5082,91559564870.8194,31,0,0,0.0,0,0.0
2022-11-09,18562.35321509,92144963385.0274,1334.28793311,32343101742.62143,25232319.0,69877980214.0,48235130058.0,961333620438.6276,202730711093.3992,29,0,0,0.0,0,0.0
2022-11-10,15742.44433596,74978675390.59279,1095.18397711,29253284762.659546,25424880.0,68208873249.0,42790548962.0,831479701405.6488,174651475977.39603,22,0,0,0.0,0,0.0
2022-11-11,17594.92350028,65200666543.364624,1301.55388031,24039423467.45047,20262207.0,68152740757.0,44558934866.0,924732340364.0378,176113637791.11987,25,0,0,0.0,0,0.0
2022-11-12,17080.21526057,45030331310.74984,1293.91159489,17355612789.319725,19534907.0,67271876433.0,43575222245.0,904670978731.362,101730058191.90048,21,0,0,0.0,0,0.0
2022-11-13,16797.98748257,21893997140.860477,1255.60105076,8636739779.554464,16554431.0,66345381026.0,42869175562.0,881116598638.735,57515290282.77485,22,0,0,0.0,0,0.0
2022-11-14,16344.342316,20411619109.007805,1223.00644333,7719000328.307081,18090694.0,66291749922.0,41990111349.0,859074245253.1931,54060721834.80618,24,0,0,0.0,0,0.0
2022-11-15,16645.82850028,37539226046.106285,1241.99709273,12056844339.739658,16412086.0,65956265903.0,42173618155.0,871999266549.255,86530315267.40157,22,0,0,0.0,0,0.0
2022-11-16,16890.52938386,28676275678.9418,1252.70673084,8940477028.374247,15879777.0,65894873297.0,42495736105.0,883191255745.1343,62317358052.11445,23,0,0,0.0,0,0.0
2022-11-17,16689.39673274,26922027947.408913,1217.70208922,8870530650.446701,14650868.0,65875492621.0,41832426282.0,869460724152.9669,58154677060.25551,20,0,0,0.0,0,0.0
2022-11-18,16718.36122806,22011291267.356167,1201.78984196,7075882101.619532,13569174.0,65888679588.0,41942038673.0,866154739591.8593,47591598797.74538,23,0,0,0.0,0,0.0
2022-11-19,16707.02277899,20942172141.414623,1213.49631006,5600678512.529781,13854934.0,65869148638.0,41834491123.0,870079075561.893,44071939989.6514,23,0,0,0.0,0,0.0
2022-11-20,16712.72952579,10844466289.901129,1218.89365711,3722348151.002224,14622457.0,65841850776.0,41581541712.0,871234257280.7877,30346983108.9147,24,0,0,0.0,0,0.0
2022-11-21,16304.07685562,15680401749.95844,1144.25315251,6826180055.62674,16444998.0,65796033621.0,40355130515.0,842036192723.5547,46177914917.03426,21,0,0,0.0,0,0.0
2022-11-22,15814.33528086,31057277097.34788,1110.28821301,10372965080.612862,15607444.0,65431303413.0,40102206133.0,821262036833.909,70854507291.70457,22,0,0,0.0,0,0.0
2022-11-23,16171.62897832,25091849198.571053,1135.17581189,9220536958.839794,15781259.0,65457735740.0,40100217807.0,842068895079.7578,60188224561.53097,22,0,0,0.0,0,0.0
2022-11-24,16608.00998544,26858079944.170044,1184.4617581,9189536303.575544,14198153.0,65274275864.0,40632602582.0,869866510097.1046,62326162991.70718,20,0,0,0.0,0,0.0
2022-11-25,16596.03575847,20949512927.386944,1204.20780283,6955523718.221009,13513660.0,65302197652.0,40370446234.0,871922722744.1049,50625665266.198364,20,0,0,0.0,0,0.0
2022-11-26,16524.44900772,18933018587.76629,1198.97558849,5823202533.487156,14430199.0,65335566807.0,40320818193.0,868705741527.8651,43857106342.90217,22,0,0,0.0,0,0.0
2022-11-27,16456.1560625,18243019109.753235,1205.65796022,5271100859.564753,13014327.0,65321148012.0,40824231128.0,871240266324.2229,41817032322.05328,26,0,0,0.0,0,0.0
2022-11-28,16459.14954376,16551822516.185429,1196.19621957,4150923882.274703,14921196.0,65316885047.0,40570822975.0,871313540047.1747,38834257220.37137,28,0,0,0.0,0,0.0
2022-11-29,16222.21072873,24566056814.212288,1170.11574147,6467273323.741678,14251196.0,65326687971.0,39912777733.0,854788093490.1063,53868966733.85976,26,0,0,0.0,0,0.0
2022-11-30,16441.97997842,24663035431.352062,1216.93642069,7132972094.453388,14996470.0,65256715971.0,40938147947.0,869369135728.6923,50974897330.64339,29,0,0,0.0,0,0.0
2022-12-01,17186.50257207,30676053555.32337,1298.94077037,9889408117.51856,14037872.0,65352829103.0,41487249134.0,903469788161.3508,63322275182.498215,27,0,0,0.0,0,0.0
2022-12-02,16972.73406077,23319572025.36399,1276.6393714,6400063074.120894,14242047.0,65359364386.0,41535208973.0,890523204986.0255,52776859378.26729,27,0,0,0.0,0,0.0
2022-12-03,17084.87334047,20945433171.615204,1293.94802318,5644934957.241694,13560010.0,65443085957.0,41025081560.0,901827259770.174,46452876174.42581,27,0,0,0.0,0,0.0
2022-12-04,16923.38287008,16931408153.950111,1243.04084233,5183647936.284697,13587057.0,65495531803.0,41002977907.0,884566879171.1064,35958975050.58468,26,0,0,0.0,0,0.0
2022-12-05,17149.93175096,18214353301.13762,1282.41644814,4842789176.374092,14520866.0,65492257484.0,41614994618.0,897522214640.1324,37215491623.965935,26,0,0,0.0,0,0.0
